Baby+AF8-Id,Outcome WITHIN ,Cumulative LT,Shifts x trail,Shifts x second
70,I,4.925,3,0.5982187
70,C,4.3666667,1,0.22900763
82,I,8.7416667,3.5,0.41224024
82,C,11.108333,4,0.41895732
55,I,,,
55,C,,,
35,I,3.775,1.5,0.38820455
35,C,3.0916667,4,1.2642066
91,I,11,8,0.72727273
91,C,9.3666667,0,0
90,I,4.8083333,3,0.54885277
90,C,1.7166667,4,2.3300971
15,I,8.5666667,4,0.46692607
15,C,10.8,7,0.64814815
74,I,15.808333,9,0.96082674
74,C,10.25,3,0.26265444
87,I,3.1083333,0.5,0.17142857
87,C,7.4833333,2,0.26726058
110,I,1.15,0,0
110,C,1.2666667,1,0.78947368
11,I,3.1166667,4,1.2834225
11,C,2.475,0.5,0.24193548
101,I,12.158333,6,0.45271395
101,C,15.05,4.5,0.33222591
97,I,20.525,8,0.46149127
97,C,13.016667,4,0.60659254
107,I,10.116667,4,0.41926022
107,C,6.85,2,0.21582734
115,I,9.9166667,1,0.10084034
115,C,7.4666667,8,1.0714286
125,I,,,
125,C,,,
116,I,10.55,2,0.11695906
116,C,4.4916667,0.5,0.14084507
128,I,10.583333,4,0.37795276
128,C,5.85,4,0.68376068
124,I,4.8833333,0.5,0.07556675
124,C,11.108333,2.5,0.28908049
132,I,15.433333,10,0.7775378
132,C,9.2416667,6,0.64469323
131,I,4.7166667,2,0.47787909
131,C,4.8166667,1.5,0.23684211
138,I,2.4333333,0,0
138,C,13.5,4.5,0.48500882
103,I,4.6916667,3.5,0.58659218
103,C,10.566667,2.5,0.26343101
142,I,14.225,4.5,0.30511099
142,C,7.425,1,0.0862069
